"geoid","totpopraceeth","WNH","BNH","aianNH","asianNH","nhopiNH","hispanic","totpoprace","W","B","totpopraceinc","NHW100_125","NHW125_150","NHW150_200","NHW200up","Bund10","B10_15","B15_20","totpoppov","belowpov","inc100_125","inc125_150","inc150_200","inc200up","incund10","inc10_15","inc15_20","ICErace","ICEraceinc","percWNH","percBNH","perc_hispanic","perc_asianNH","perc_aianNH","perc_nhopiNH","percpov","ICEinc"
"25005640800",3556,2741,46,0,120,0,560,3556,3007,54,1381,75,25,29,0,8,0,0,3556,834,75,25,29,0,161,81,103,0.757874015748031,0.0876176683562636,0.770809898762655,0.0129358830146232,0.15748031496063,0.0337457817772778,0,0,0.234533183352081,-0.156408399710355
"25005644200",7277,7065,4,0,39,0,105,7277,7116,4,2822,324,87,93,40,0,0,0,6969,616,345,87,93,40,262,113,160,0.970317438504878,0.192771084337349,0.970867115569603,0.000549677064724474,0.0144290229490175,0.00535935138106363,0,0,0.0883914478404362,0.0106307583274274
"25021456301",1748,1581,94,0,0,0,22,1748,1603,94,680,44,30,20,4,0,0,0,1748,566,44,47,20,4,32,61,68,0.850686498855835,0.144117647058824,0.904462242562929,0.0537757437070938,0.0125858123569794,0,0,0,0.323798627002288,-0.0676470588235294
"25021456302",4981,4460,391,0,23,0,0,4981,4460,391,2499,233,173,183,0,13,13,0,4981,361,241,173,211,0,203,75,217,0.816904236097169,0.225290116046419,0.895402529612528,0.0784982935153584,0,0.00461754667737402,0,0,0.0724754065448705,0.0520208083233293
"25021457200",5872,5102,266,0,315,2,73,5872,5175,266,2129,255,98,187,609,0,0,0,5751,412,255,139,230,653,80,28,50,0.823569482288828,0.539689995302959,0.868869209809264,0.045299727520436,0.0124318801089918,0.0536444141689373,0,0.000340599455040872,0.0716397148322031,0.525598872710193
"25023500103",2300,2249,0,0,0,0,0,2300,2249,0,1271,231,76,93,60,0,0,0,2300,105,231,76,93,93,47,61,81,0.977826086956522,0.36191974822974,0.977826086956522,0,0,0,0,0,0.0456521739130435,0.239181746656176
"25023500104",4132,3854,65,0,84,0,50,4132,3875,65,1802,176,86,161,74,0,0,0,4119,141,176,86,210,74,55,83,67,0.916989351403679,0.275804661487236,0.932720232333011,0.015730880929332,0.0121006776379477,0.0203291384317522,0,0,0.034231609613984,0.189234184239734
"25027732901",6790,4264,902,18,342,0,1150,6790,5213,914,2831,110,148,13,50,0,14,19,6756,1527,147,173,45,63,289,292,232,0.495139911634757,0.101730837160014,0.627982326951399,0.132842415316642,0.169366715758468,0.0503681885125184,0.00265095729013255,0,0.226021314387211,-0.135994348286824
"25027733101",2051,1554,132,0,106,0,225,2051,1738,154,799,86,51,41,0,0,0,0,2051,78,127,51,56,0,8,35,4,0.693320331545587,0.222778473091364,0.757679180887372,0.0643588493417845,0.109702584105314,0.0516821062896148,0,0,0.038030229156509,0.234042553191489
"25027710100",3815,2308,149,0,152,0,1109,3815,2810,174,1391,47,19,15,53,0,0,0,3742,494,77,43,15,53,110,72,50,0.565923984272608,0.096333572969087,0.604980340760157,0.0390563564875491,0.290694626474443,0.0398427260812582,0,0,0.13201496525922,-0.0316319194823868
